name,website,category,date,source
Ehrman-Loeb,www.ehrman-loeb.com,Unlicensed entities,2010-11-18,sfc
Bryant Shaw LLC,www.bryantshaw.com,Unlicensed entities,2011-02-14,sfc
Dividium Asia Limited,,Unlicensed entities,,sfc
http://4008095521.com/index.php,http://4008095521.com/index.php,Suspicious websites,,sfc
Continental Trade,www.continental-trade.com,Unlicensed entities,2011-02-14,sfc
Allianz Financial Group (Hong Kong) Limited,www.fxallianz.com.hk/gywm/25.html,Unlicensed entities,2011-01-11,sfc
Regal Group International,www.regalgroupinternational.com,Unlicensed entities,2010-09-09,sfc
International Securities Registry,www.internationalsecuritiesregistry.org,Fake regulators and/or market operators,2011-02-14,sfc
Persis International Investment Hong Kong Limited,,Unlicensed entities,,sfc
Timber Hill Limited,www.thlfx.com,Unlicensed entities,2011-02-23,sfc
http://www.asia-im.info/,http://www.asia-im.info/,Suspicious websites,,sfc
Pacific Energy Exchange,www.pacificenergyexchange.com,Unlicensed entities,2011-03-08,sfc
Hong Kong Finance,www.hkfincn.com,Unlicensed entities,2011-03-10,sfc
Global e-Finance Investment Group,www.globale-finance.com,Unlicensed entities,2011-03-16,sfc
Skipton Asset Management Limited,www.skiptonassetmanagement.com,Unlicensed entities,2011-03-24,sfc
Assets International S.A DE C.V,,Unlicensed entities,,sfc
Wells Financial Holdings,www.wellsfinancialholdings.com,Unlicensed entities,2011-03-29,sfc
Antek International,http://antek-international.com,Unlicensed entities,2011-03-29,sfc
Weissman Commodities,www.weissmancommodities.com,Unlicensed entities,,sfc
The Asian Financial Services Authority,www.afsaasia.org,Fake regulators and/or market operators,2011-03-10,sfc
Harris James Associates,www.harrisjamesassociates.com,Unlicensed entities,,sfc
Williams Corporation Limited,,Unlicensed entities,,sfc
Truimph Capital Management,,Unlicensed entities,,sfc
Hartmann and Partners,www.hartmannpartners.com,Unlicensed entities,2011-02-14,sfc
Cooper Company Management,www.coopercompanymanagement.com,Unlicensed entities,2011-04-12,sfc
Vantage Capital International,www.vantagecapital-hk.com,Unlicensed entities,2011-04-12,sfc
Sternwood Trading Partners Co Ltd,www.sternwoodtradingpartners.com,Unlicensed entities,2011-04-12,sfc
Financial Markets Supervisory Authority of Hong Kong,http://fmsahk.org,Fake regulators and/or market operators,2011-04-12,sfc
Birchall McCallen,http://birchallmccallen.com,Unlicensed entities,2011-04-26,sfc
www.goldway-s.com,www.goldway-s.com,Suspicious websites,,sfc
Price and Partners Consultants,www.priceandpartnersconsultants.com,Unlicensed entities,2011-05-11,sfc
RegiGlobe,www.regiglobe.com,Fake regulators and/or market operators,2011-05-12,sfc
Pacific Union Corporation,www.pacificunioncorp.com,Unlicensed entities,2011-04-26,sfc
Hersh Edelman,www.hersh-edelman.com,Unlicensed entities,2011-05-12,sfc
Oppenheimer Lloyd Consultants,www.oppenheimerlloyd.com,Unlicensed entities,2011-04-12,sfc
Wheeler Asset Group,www.wheelerassetgroup.com,Unlicensed entities,2011-05-12,sfc
Global World Acquisitions,www.globalworldacquisitions.com,Unlicensed entities,2011-03-25,sfc
Options Extreme,http://options-extreme.com,Unlicensed entities,2011-04-12,sfc
www.ytgjcf.net,www.ytgjcf.net,Suspicious websites,,sfc
International Investor Commission,www.internationalic.com,Fake regulators and/or market operators,2011-05-23,sfc
International Court of Finance,www.intlcf.org,Unlicensed entities,2011-05-23,sfc
OFS Capital Group,www.ofscapitalgroup.com,Unlicensed entities,2011-06-01,sfc
Interactive Trade,www.interactive-trade.com,Unlicensed entities,2011-06-02,sfc
Guardian Trust Company (Asia) Limited,http://guardiantrustcompany.com,Unlicensed entities,,sfc
Global Financial Services Regulatory Committee,www.globalfsrc.com,Fake regulators and/or market operators,2011-06-02,sfc
Brookes & Associates,www.brookes-associates.com,Unlicensed entities,2011-06-02,sfc
Abberley Capital,www.abberleycapital.com,Unlicensed entities,2011-05-18,sfc
Value Capital Partners Management Limited,www.valcapmanagement.com,Suspicious websites,,sfc
EFD Financial Group Company Limited,www.efdtrading.com,Unlicensed entities,2011-06-09,sfc
Jin Hue Finance,www.jinhuefinance.com,Unlicensed entities,2011-06-09,sfc
Edgar International Company Limited,www.edgar-international.org,Unlicensed entities,2011-06-13,sfc
Woodward Gordon Capital International,http://www.wg-ci.com/,Unlicensed entities,2011-06-15,sfc
Shengtai Group,www.shengtai-group.com,Unlicensed entities,2011-06-15,sfc
Sternwood Business Services,http://sternwoodbusinessservices.com,Unlicensed entities,2011-04-21,sfc
E Ming Inc. Limited,,Unlicensed entities,,sfc
First Inc Limited,www.firstincltd.com,Unlicensed entities,2011-06-23,sfc
Crown Will Securities,www.crownwillsecurities.com,Unlicensed entities,2011-06-23,sfc
Edward Jones Group,www.edwardjonesgroup.com,Unlicensed entities,2011-06-23,sfc
富克林投資有限公司,www.fkl-hk.com,Suspicious websites,2011-06-29,sfc
SCB,www.scb-hongkong.com,Suspicious websites,2011-07-04,sfc
Lantau International,www.lantau-international.com,Unlicensed entities,2011-06-23,sfc
Gordon Group Services,www.gordongroupservices.com,Unlicensed entities,2011-07-04,sfc
Tsuen Wan International,www.tw-international.com,Unlicensed entities,2011-07-11,sfc
Premier E-Finance,www.premier-efinance.com,Unlicensed entities,2011-07-18,sfc
S.P. Transfer and Traders,www.stocktransferagent.us,Unlicensed entities,2011-06-23,sfc
Institutional Equity Partners,www.iepnet.com,Unlicensed entities,2011-07-18,sfc
www.yihehk.com,www.yihehk.com,Suspicious websites,2011-07-18,sfc
Master Vision Group of Banks,www.mvgbs.com,Unlicensed entities,2011-07-18,sfc
www.yihe-HK.com,www.yihe-HK.com,Suspicious websites,2011-07-18,sfc
Zenton Ltd,,Unlicensed entities,,sfc
Weizmann & Young,www.weizmannyoung.com,Unlicensed entities,2011-06-02,sfc
Beijing Futures Exchange,http://www.bfex.org,Fake regulators and/or market operators,2011-07-19,sfc
Hesketh Leihner,http://hesketh-leihner.com,Unlicensed entities,2011-07-19,sfc
HongKong Sega Bullion Limited,www.sucdensega.com,Unlicensed entities,2011-07-20,sfc
ICAP Europe Ltd,www.icap-forex.com,Unlicensed entities,,sfc
Intereast Securities Ltd,www.intereastsecurities.com,Unlicensed entities,2011-07-22,sfc
Weissmuller and Sons,www.weissmullerandsons.com,Unlicensed entities,2011-07-07,sfc
Sandford C. Bernstein (Asia) Limited,www.scbernstein.asia,Suspicious websites,2011-07-29,sfc
Westhorpe Capital,www.westhorpecapital.com,Unlicensed entities,2011-07-22,sfc
Securities Intermediary Bureau,www.securitiesintermediarybureau.org,Fake regulators and/or market operators,2011-02-21,sfc
HK Pacific,www.hk-pacific.com,Unlicensed entities,2011-08-04,sfc
Karway Transfer,www.karwaytransfer.com,Unlicensed entities,2011-08-04,sfc
Banner Commodities,www.bannercommodities.com,Unlicensed entities,2011-08-05,sfc
IN Commodities,http://incommodities.com,Unlicensed entities,2011-08-11,sfc
Butler Investment Managers,www.butler-investments.com,Unlicensed entities,,sfc
Waytung Global,www.waytung-global.com,Unlicensed entities,2011-08-26,sfc
Milton Financials,www.miltonfinancials.com,Unlicensed entities,2011-08-30,sfc
Affirmative Management Ltd,,Unlicensed entities,,sfc
Alpha Trade,(i) www.alpha-trade.com,Unlicensed entities,2011-08-05,sfc
www.ftgoldexchange.com,www.ftgoldexchange.com,Suspicious websites,2011-08-26,sfc
Final Hurdle Ltd,www.final-hurdle.com,Unlicensed entities,2011-08-31,sfc
Century Commodities,www.centurycommodities.com,Unlicensed entities,2011-09-01,sfc
Ambros Group,www.ambrosgroup.com,Unlicensed entities,2011-09-06,sfc
United Trustee Association,www.hkuta.com,Unlicensed entities,2011-06-28,sfc
Southampton Investment Services International,,Unlicensed entities,,sfc
Alternative Investments Advisors,www.alternativeinvestmentsab.com,Unlicensed entities,2011-08-18,sfc
LGT Investment Group,www.lgt-ap.com/Index.asp,Suspicious websites,,sfc
Trade & Clear Limited,www.tradeandclear.com,Unlicensed entities,2011-09-15,sfc
Devonshire & Douglas Capital Partners,www.devonshiredouglas.com,Unlicensed entities,2011-09-27,sfc
North Point Commodities,www.nopocom.com,Unlicensed entities,2011-09-27,sfc
Unique Asset – Hong Kong,www.uasst.com,Unlicensed entities,2011-06-02,sfc
Antek Global Consultants Limited,http://antekglobalconsultants.com,Unlicensed entities,2011-09-28,sfc
CTFOREX,www.ctforexgroup.com,Unlicensed entities,2011-09-14,sfc
SGS Consultants Limited,http://sgsconsultantslimited.com,Unlicensed entities,2011-09-28,sfc
SGS Global Limited,www.sgsgloballtd.com,Unlicensed entities,2011-09-28,sfc
Mclintock Greer & Co,www.mclintockgreer.com,Unlicensed entities,2011-09-28,sfc
The Crowne Registry,www.thecrowneregistry.com,Unlicensed entities,2011-09-28,sfc
Mitsui Holdings,,Unlicensed entities,,sfc
Beacon Pointe Securities,www.beaconpointesecurities.com,Unlicensed entities,2011-10-10,sfc
International Financial Court,,Fake regulators and/or market operators,,sfc
Jensen Ryan Lee Ltd.,http://jrlltd.com,Unlicensed entities,2011-10-10,sfc
Global Investor Commission,www.gicomm.com,Fake regulators and/or market operators,2011-10-10,sfc
www.agifx.com/zh/cs/1.html,www.agifx.com/zh/cs/1.html,Suspicious websites,,sfc
CrownWell International Holdings Limited,http://crownwell.net,Unlicensed entities,2011-10-11,sfc
Provideo Financial,www.provideofinancial.com,Unlicensed entities,2011-10-24,sfc
http://blog.sina.com.cn/s/blog_8cd1c8950100tcbf.html,http://blog.sina.com.cn/s/blog_8cd1c8950100tcbf.html,Suspicious websites,,sfc
http://www.ifastcorp.org/Personalpromotion.aspx?regid=ycx888,http://www.ifastcorp.org/Personalpromotion.aspx?regid=ycx888,Suspicious websites,,sfc
Global Finance Authority,www.gfa-hk.com,Unlicensed entities,2011-10-21,sfc
City Index,www.cityindexfx.hk,Suspicious websites,2011-08-26,sfc
Federal Capital Inc.,www.federalcap.us,Unlicensed entities,2011-10-26,sfc
Broche Capital Advisors,www.brochecapitaladvisors.com,Unlicensed entities,2011-10-26,sfc
Cadman Mergers and Acquisition,www.cadmanmergersandacquisition.com,Unlicensed entities,2011-10-25,sfc
Hong Kong Options and Futures Exchange,www.hkoex.com,Suspicious websites,2011-11-07,sfc
Wing Sheng Financial Group,www.wsfggolden.com,Suspicious websites,,sfc
HKI Consultants,www.hkiconsultants.com,Unlicensed entities,2011-11-07,sfc
Diversified Assets Authority,www.daauthority.com,Fake regulators and/or market operators,,sfc
In-Capital,www.in-capital.com,Unlicensed entities,2011-11-07,sfc
Saddle River Futures,www.saddleriverfutures.com,Unlicensed entities,2011-11-07,sfc
Opus-Alliance,www.opus-alliance.com,Unlicensed entities,2011-11-23,sfc
Eastridge Associates,www.eastridgeassociates.com,Unlicensed entities,2011-11-24,sfc
http://www.ifastcorp.org/iFAST_Login.aspx,http://www.ifastcorp.org/iFAST_Login.aspx,Suspicious websites,,sfc
First Standard Management,www.first-standard.net,Unlicensed entities,2011-11-28,sfc
Pacific Alliance Mergers and Acquisitions Ltd,http://pacificalliance.com,Unlicensed entities,2011-11-28,sfc
MAN Group Foundation Limited,www.mansfund.com/cn,Suspicious websites,,sfc
"New Zealand Xinlong gold group co., Ltd.",www.yf-gold.com,Suspicious websites,,sfc
www.dtjygold.com,www.dtjygold.com,Suspicious websites,,sfc
Brassel Capital Asset Management Limited,www.bcamltd.com,Unlicensed entities,2011-12-21,sfc
Shaffer Lienhard,www.shaffer-lienhard.com,Unlicensed entities,2011-12-21,sfc
Bergmann & Co. International,http://bergmannco-international.com,Unlicensed entities,2011-09-27,sfc
www.convoyfinancial.net,www.convoyfinancial.net,Suspicious websites,,sfc
Kyodo Securities,www.kyodosecurities.net,Unlicensed entities,2011-12-21,sfc
Hong Kong Finance Authority,www.financeauthority-hk.com,Unlicensed entities,2011-09-07,sfc
China Mineral Company Limited,www.chinamineralcompany.com,Unlicensed entities,2012-01-30,sfc
Sunway International,www.sunway-international.com,Unlicensed entities,2011-11-09,sfc
Metro Wide Investments,http://metrowideinvestments.com,Unlicensed entities,2012-01-20,sfc
Kennedy Anderson Mergers & Acquisitions,www.kennedyanderson-merger.com,Unlicensed entities,2012-01-30,sfc
Longwood Trading,www.longwood-trading.com,Unlicensed entities,2012-01-30,sfc
Cosmo Swiss Management S.A.,,Unlicensed entities,,sfc
ATX Group,www.atx-group.com,Unlicensed entities,2012-01-31,sfc
Worldex Holdings International,www.worldex-holdings-international.com,Unlicensed entities,2012-01-30,sfc
www.haitonginfo.hk,www.haitonginfo.hk,Unlicensed entities,,sfc
Pretium Ventures,www.pretiumventures.com,Unlicensed entities,2012-01-30,sfc
http://www.ukcantor.net,http://www.ukcantor.net,Suspicious websites,,sfc
United Finance Association,www.ufa-hk.com,Unlicensed entities,2011-12-06,sfc
http://www.ukcantorhk.com,http://www.ukcantorhk.com,Suspicious websites,,sfc
http://www.ukcantor.com,http://www.ukcantor.com,Suspicious websites,,sfc
Campbell Alexander Financial Services Group/Campbell Alexander Limited,www.campbellalexander.com,Unlicensed entities,2012-02-15,sfc
Vanquish Capital Associates,www.vanquishcapital-hk.com,Unlicensed entities,2012-02-22,sfc
GIGA Invest (Asia),www.gigainvest.net,Unlicensed entities,2012-02-06,sfc
RBM International Limited,www.rbm-international.com,Unlicensed entities,2012-02-22,sfc
Golden Wealth Group,www.goldenwealthgroup.com,Unlicensed entities,2012-02-22,sfc
Ellis Stanley Alden,www.esaglobalservices.com,Unlicensed entities,2012-02-22,sfc
International Securities & Assets Recovery Committee,www.intlsarc.com,Unlicensed entities,2012-02-28,sfc
Bond Asset Management,www.bondassetmanagement.com,Unlicensed entities,2012-02-28,sfc
Global Acquisitions Regulators,www.garegulators.com,Fake regulators and/or market operators,2012-02-28,sfc
Sinopart Corporation,www.sinopart.lu,Unlicensed entities,2012-03-05,sfc
www.kh879.com,www.kh879.com,Suspicious websites,,sfc
www.kh869.com,www.kh869.com,Suspicious websites,,sfc
www.cantorint.com,www.cantorint.com,Suspicious websites,,sfc
www.kh599.com,www.kh599.com,Suspicious websites,,sfc
www.kh555.com,www.kh555.com,Suspicious websites,,sfc
www.kh799.com,www.kh799.com,Suspicious websites,,sfc
Hong Kong Commodities and Mercantile Exchange,http://hkcmx.hk,Suspicious websites,2011-12-30,sfc
International Mergers Authority,www.imauth.com,Fake regulators and/or market operators,2012-02-28,sfc
http://www.kh989.com/htm/kh4.htm,http://www.kh989.com/htm/kh4.htm,Suspicious websites,,sfc
www.kh969.com,www.kh969.com,Suspicious websites,,sfc
www.kh899.com,www.kh899.com,Suspicious websites,,sfc
www.kh819.com,www.kh819.com,Suspicious websites,,sfc
http://www.fayzw.com,http://www.fayzw.com,Suspicious websites,,sfc
www.kh558.com,www.kh558.com,Suspicious websites,,sfc
www.kh989.com,www.kh989.com,Suspicious websites,,sfc
www.kh788.com,www.kh788.com,Suspicious websites,,sfc
Jones Capital,www.jones-capital.com,Unlicensed entities,2012-03-20,sfc
www.d983.com,www.d983.com,Suspicious websites,2012-03-20,sfc
Alliance Capital Exchange,www.alliancecapitalgroup.org,Unlicensed entities,2012-03-28,sfc
www.kh889.com,www.kh889.com,Suspicious websites,,sfc
www.kh669.com,www.kh669.com,Suspicious websites,,sfc
www.kh878.com,www.kh878.com,Suspicious websites,,sfc
Winterthur Fund Management,http://winterthurfundmanagement.com,Unlicensed entities,2012-01-11,sfc
Smart Trade FX Inc.,www.smarttradefx.com,Unlicensed entities,2012-04-17,sfc
Blackstone Asset Management,www.blkfinance.net,Unlicensed entities,2012-04-17,sfc
S-One Financial,,Unlicensed entities,,sfc
Ashford Financial Group,www.ashfordfinancialgroup.com,Unlicensed entities,,sfc
Hong Kong Securities Clearing Limited,,Unlicensed entities,,sfc
Vista Capital Management,www.vista-hk.com/,Unlicensed entities,2012-04-17,sfc
Global Span Asia,www.gspanasia.com,Unlicensed entities,2012-04-20,sfc
etoile Consulting Group,www.etoileam.com,Unlicensed entities,2012-04-30,sfc
Fibonacci International Hong Kong Limited,www.fibo-int.com,Unlicensed entities,2012-05-04,sfc
www.cantorfsa.com,www.cantorfsa.com,Suspicious websites,,sfc
Tiger CTA,www.tiger-cta.com,Unlicensed entities,,sfc
Smith and Olsson,http://www.smithandolsson.com/,Unlicensed entities,2012-04-18,sfc
Friedman Global,www.friedman-global.com,Unlicensed entities,2012-04-17,sfc
Chase Boston Limited,,Unlicensed entities,,sfc
ACE International,www.alliancecapitalgroup.org,Unlicensed entities,2012-03-28,sfc
JD Trading Inc,,Unlicensed entities,,sfc
Unicorn Finance Group,www.unicornfinancegroup.com,Unlicensed entities,2012-05-14,sfc
Alliance Capital Group,www.alliancecapitalgroup.org,Unlicensed entities,,sfc
Asiana FX Limited,www.asianafx.com,Unlicensed entities,2012-05-10,sfc
Lefroy Hudson,www.lefroy-hudson.com,Unlicensed entities,,sfc
www.t908.com,www.t908.com,Suspicious websites,,sfc
"Williams, Jensen & Jefferies Inc.",www.wjjinc.com,Unlicensed entities,,sfc
Futures Trading Commission,www.hkftc.org,Fake regulators and/or market operators,,sfc
Seoul Options and Futures Exchange,www.sofx.org,Fake regulators and/or market operators,,sfc
BlueCrest Capital Management,,Unlicensed entities,,sfc
www.newedgetarget.com,www.newedgetarget.com,Suspicious websites,,sfc
The Kronos Group,www.thekronosgroup.com,Unlicensed entities,2012-07-23,sfc
Harris & James Company Ltd,www.harris-james.com,Unlicensed entities,2012-05-14,sfc
Dawson & Crane Incorporated,www.dawsoncrane.com,Unlicensed entities,2012-07-23,sfc
Apex International Development Group Limited,www.apexrise.com,Unlicensed entities,2012-07-25,sfc
Fast Gold Inc.,http://fast-goldex.webs.com,Unlicensed entities,,sfc
Fast Gold Exchange,http://fast-goldex.webs.com,Fake regulators and/or market operators,,sfc
Oriental Futures Trading,www.of-trading.com,Unlicensed entities,2012-06-18,sfc
Murray Merger Group,www.murraymerger.com,Unlicensed entities,2012-06-26,sfc
Electronic Money Inc.,,Unlicensed entities,,sfc
LGT German Investment GmbH,,Unlicensed entities,,sfc
德國LGT投資有限公司北京代表處,,Unlicensed entities,,sfc
LGT-Investment Gmbh,,Unlicensed entities,,sfc
http://eastmoney.comhjl.com,http://eastmoney.com,Suspicious websites,,sfc
www.cantor-fsa.com,www.cantor-fsa.com,Suspicious websites,,sfc
Softchange Inc.,http://softchanger.webs.com,Unlicensed entities,2012-08-02,sfc
Hongkong Chuangtou Financial Investment Inc,www.ct9999.com,Unlicensed entities,2012-08-07,sfc
Shinsei Associates,www.shinseiassociates.com,Unlicensed entities,2012-08-21,sfc
Omega Trading Group,http://omegatradinggroup.com,Unlicensed entities,2012-08-30,sfc
Option World,www.option-world.com,Unlicensed entities,,sfc
Wealth Capital Corp,www.wealthcapitalcorp.com,Unlicensed entities,2012-09-19,sfc
Manhattan Capital Corp,www.manhattancapitalcorp.com,Unlicensed entities,2012-09-19,sfc
ACT Transfer Services,www.acttransferservices.com,Unlicensed entities,2012-09-05,sfc
Arendee Consulting Group Ltd,www.arendeeco.com,Unlicensed entities,2012-08-20,sfc
Aros Securities,www.arossec.com,Unlicensed entities,2012-09-19,sfc
Finance Your Dream Limited trading as Royalty7,www.royalty7.com,Unlicensed entities,2012-09-19,sfc
BridgeWay Corporate Management,www.bridgewaycm.com,Unlicensed entities,,sfc
Churchills Mergers and Acquisitions,www.churchillsmergersandacquisitions.com,Unlicensed entities,2012-09-05,sfc
www.hpgold-hk.com,www.hpgold-hk.com,Suspicious websites,,sfc
Cooper Chung International,www.cooperchung.com,Unlicensed entities,2012-10-17,sfc
Agile Financial,www.agilefinancial.com,Unlicensed entities,2012-10-17,sfc
Transunion Financial,www.transunionfinancial.com,Unlicensed entities,2012-10-17,sfc
Admiral Finance Group,www.admiralfinancegroup.com,Unlicensed entities,2012-10-17,sfc
LGT German Investitions GmbH,,Unlicensed entities,,sfc
Apex Capital Partners,http://apexcapitalpartners.com,Unlicensed entities,2012-10-17,sfc
The Tyler Group,www.thetylergroup.com,Unlicensed entities,2012-10-17,sfc
Abney Associates,www.abneyassociates.com,Unlicensed entities,2012-10-17,sfc
Crossbridge Partners,www.crossbridgepartners.com,Unlicensed entities,2012-10-22,sfc
www.mscipchinese.co.uk,www.mscipchinese.co.uk,Suspicious websites,,sfc
Provost Management,www.provostmanagement.com,Unlicensed entities,2012-10-16,sfc
www.mscip.co.uk,www.mscip.co.uk,Suspicious websites,,sfc
Blake Capital Partners,www.blakecapitalpartners.com,Unlicensed entities,2012-11-02,sfc
Worldwide Investors Portfolio,www.worldwideinvestmentsportfolio.com,Unlicensed entities,2012-11-02,sfc
InvestTechFX,www.investtechfx.com,Unlicensed entities,,sfc
Delacour Investments,www.delacourinvest.com,Unlicensed entities,2012-11-07,sfc
Blumkin Global,www.blumkin-global.com,Unlicensed entities,2012-11-07,sfc
GBTRADE International Worldwide Limited,www.gbtrade-worldwide.com,Unlicensed entities,2012-11-14,sfc
Shanghai Continental Futures Co. Ltd. / SCFS Group Limited,www.scfs-group.com,Unlicensed entities,2012-11-15,sfc
Pacific Transfers International,www.pacifictransfersintl.com,Unlicensed entities,2012-11-15,sfc
Days of Gold Company Ltd,www.goldtfa.com,Unlicensed entities,,sfc
International Financial Court (IFC) Hong Kong,,Fake regulators and/or market operators,,sfc
Claybourne Group,www.claybournegroup.com,Unlicensed entities,2012-11-22,sfc
Riverbrook Capital,www.riverbrookcapital.com,Unlicensed entities,2012-11-09,sfc
Redford Securities International,www.redfordsecurities.com,Unlicensed entities,2012-11-29,sfc
www.sfjrw.com,www.sfjrw.com,Suspicious websites,,sfc
http://harbin-beer.cn/index.html,http://harbin-beer.cn/index.html,Suspicious websites,,sfc
http://61.152.237.170/index.html,http://61.152.237.170/index.html,Suspicious websites,,sfc
富時金融,www.fs5666.com,Suspicious websites,,sfc
Kessler and Partners,www.kesslerandpartners.com,Unlicensed entities,2013-01-02,sfc
BP Holdings,www.bpholdings.com,Unlicensed entities,2013-01-17,sfc
www.3w2n.com,www.3w2n.com,Suspicious websites,,sfc
Ocean International Ltd,www.oceaninternationalltd.com,Unlicensed entities,2012-09-19,sfc
www.yishi888.com,www.yishi888.com,Suspicious websites,,sfc
The Toros Group,www.thetorosgroup.com,Unlicensed entities,2013-01-21,sfc
5Decimals Limited,http://5decimals.com,Unlicensed entities,2013-01-21,sfc
Lear Capital Group,http://learcapitalgroup.com,Unlicensed entities,2012-11-15,sfc
MTC Global Group / MTC Global Financial Services Group Ltd,www.mtcglobal.com,Unlicensed entities,2013-01-21,sfc
Pays Gold Inc.,,Unlicensed entities,,sfc
EFG Associates,www.efg-associates.net,Unlicensed entities,2013-02-05,sfc
Summit Capital Management,www.summit-cm.com,Unlicensed entities,2013-02-26,sfc
Winbase Equities,www.winbaseequities.com,Unlicensed entities,2013-02-26,sfc
高銀金融,http://gyjrw.cc/,Suspicious websites,,sfc
Rabo Strategies,www.rogosbv.com,Unlicensed entities,2012-12-24,sfc
GIGA Asia Limited,www.gigaasialimited.com,Unlicensed entities,2013-02-27,sfc
COLLINGBOURNE GROUP,,Unlicensed entities,,sfc
CTC Holdings Co,www.ctc-holdings.com,Unlicensed entities,2013-02-27,sfc
Prava Law Group LLC,http://pravalaw.com,Unlicensed entities,2013-02-27,sfc
Clarity Capital Markets,http://claritycapitalmarkets.com,Unlicensed entities,2013-03-15,sfc
S-One Financial / Summit One Financial,,Unlicensed entities,,sfc
Hollerman & Company LLC,www.hollermanllc.com,Unlicensed entities,2013-03-20,sfc
Frank Goldenberg Yoshi,www.fgy.com.hk,Unlicensed entities,2013-03-27,sfc
Spectrum Capital Management,www.spectrumcapitalmanagement.com,Unlicensed entities,2013-02-15,sfc
Hong Kong Regulatory Board,http://gov.hkrb.org,Fake regulators and/or market operators,2013-03-15,sfc
Troy McDonald,http://troymcdonald.com,Unlicensed entities,2013-04-05,sfc
www.81cx.com,www.81cx.com,Suspicious websites,,sfc
www.fuchang1.com,www.fuchang1.com,Suspicious websites,,sfc
Lionhill Partners,www.lionhillpartners.com,Unlicensed entities,2013-04-23,sfc
Changsheng Associates,www.changsheng-associates.com,Unlicensed entities,2013-04-25,sfc
Global Cap. Equity Group,www.globalcap-equitygrp.com,Unlicensed entities,2013-03-27,sfc
International Corporate Advisors,www.intlcorporateadvisors.com,Unlicensed entities,2013-04-25,sfc
Hemmington Capital Markets,www.hemington-cm.com,Unlicensed entities,2013-05-09,sfc
Guangzhou Commodity Exchange / Guangzhou COM / GZ COM,www.gzcom.org,Unlicensed entities,2013-05-09,sfc
International Investor Protection Coalition,http://iipcoalitiononline.org,Fake regulators and/or market operators,,sfc
Cornerstone Capital Advisers,www.cornerstonecapitaladvisors.com,Unlicensed entities,2013-05-08,sfc
Citichamp Investment Limited,,Unlicensed entities,,sfc
http://www.cantorukgold.com,http://www.cantorukgold.com,Suspicious websites,,sfc
Taiwan Options and Futures Exchange,www.twofx.org,Fake regulators and/or market operators,2013-05-22,sfc
Overseas Corporate Advisors Inc,www.overseascorporateadvisors.com,Unlicensed entities,2013-01-04,sfc
www.fuchang2.com,www.fuchang2.com,Suspicious websites,,sfc
Idelson Group,www.idelson-group.com,Unlicensed entities,2013-05-22,sfc
www.yhjrtz.cc,www.yhjrtz.cc,Suspicious websites,,sfc
Kuangshi Futures,www.kss.hk,Unlicensed entities,,sfc
AIA Group Investment Guarantee Limited,,Unlicensed entities,,sfc
Aston Hu & Associates,http://astonhu.com/,Unlicensed entities,2013-05-29,sfc
Duke International Asset Management Company Limited,www.dukehk.com,Unlicensed entities,,sfc
Casper Holdings Co Ltd,,Unlicensed entities,,sfc
williamchow@vpgroupasia.com,,Phishes,,sfc
www.ifahk.com,www.ifahk.com,Suspicious websites,,sfc
Kendall Morgan Partners,www.kendallmorganpartners.com,Unlicensed entities,2013-06-18,sfc
Denison Newbrook Reid,www.denisonnewbrookreid.com,Unlicensed entities,2013-05-29,sfc
First Laurel Capital,www.ffbc-flc.com,Unlicensed entities,2013-06-27,sfc
www.jiashivip.net,www.jiashivip.net,Unlicensed entities,2013-06-27,sfc
Flex Capital Partners,www.flexcapitalpartners.com,Unlicensed entities,2013-06-27,sfc
Spartan FX / Spartan Management Asia Limited,www.tradeforexoffshore.com / www.spartanfx.asia,Unlicensed entities,2013-06-06,sfc
The Avanti Group,www.theavantigroup.com,Unlicensed entities,2013-06-27,sfc
博滙通,www.bht8.com,Unlicensed entities,,sfc
Capital Alliance International,www.capitalallianceinternational.com,Unlicensed entities,2013-06-27,sfc
時富金融網,(i) www.shifu1.com,Suspicious websites,2013-07-12,sfc
Whitmore Wealth Management,www.whitmorewealth.com,Unlicensed entities,2013-07-12,sfc
Genkai Securities,www.genkai-securities.com,Unlicensed entities,2013-03-28,sfc
www.franklinfund.us,www.franklinfund.us,Suspicious websites,2013-07-12,sfc
DS Forex,www.dsforex.com,Unlicensed entities,2013-07-12,sfc
IC Markets Hong Kong,www.icmarkets.com.hk,Unlicensed entities,,sfc
Hamilton Financial Services,www.hamilton-fs.com,Unlicensed entities,2013-06-27,sfc
Dupont Securities,www.dupontsecurities.com,Unlicensed entities,2013-07-12,sfc
HK Jin Yu Heng Tong Investment Co Limited / HK Jin Yu Heng Tong Investment Management Limited,i) www.jyht.co.uk,Unlicensed entities,2013-07-12,sfc
AWI Financial,www.awifinancial.com,Unlicensed entities,2013-07-12,sfc
http://azentuscapitalmanagement.com,http://azentuscapitalmanagement.com,Suspicious websites,,sfc
http://azentus-capital.com,http://azentus-capital.com,Suspicious websites,,sfc
SCFS Trading,www.scfs-trading.com,Unlicensed entities,2013-07-16,sfc
"Winston, Jarrod & Jones",http://wjj-inc.com,Unlicensed entities,2013-07-16,sfc
Leonard Ullrich Neuman,www.leonardullrichneumann.com,Unlicensed entities,2013-07-12,sfc
